姓名,籍贯,省份,城市,身份标签,严重度,恶性事件类型,涉及事件名称,罪行摘要,恶性事件详情,结局
景阳春,富锦、同江,黑龙江,佳木斯,[伪富锦县警察讨伐大队长],MEDIUM,扫荡,,伪职：伪富锦县警察讨伐大队长；罪行：带领伪讨伐队在松花江下游扫荡抗联，捣毁多处救国会组织，抓捕、残害抗日群众。；结局：抗战胜利后被反奸清算处决。,罪行：带领伪讨伐队在松花江下游扫荡抗联，捣毁多处救国会组织，抓捕、残害抗日群众。,抗战胜利后被反奸清算处决。
景阳春,富锦、同江,黑龙江,佳木斯,[伪富锦县警察讨伐大队长],MEDIUM,扫荡,,伪职：伪富锦县警察讨伐大队长；罪行：带领伪讨伐队在松花江下游扫荡抗联，捣毁多处救国会组织，抓捕、残害抗日群众。；结局：抗战胜利后被反奸清算处决。,罪行：带领伪讨伐队在松花江下游扫荡抗联，捣毁多处救国会组织，抓捕、残害抗日群众。,抗战胜利后被反奸清算处决。
曲冠军,临江县（今白山临江）,吉林,白山,[伪警正、山林讨伐大队长],MEDIUM,扫荡,,伪职：伪警正、山林讨伐大队长；罪行：手绘长白山详图献给日军，标注抗联密营、伤员岩洞、接济抗联群众住址；带队进山扫荡，大肆搜捕抗联人员，破坏大量密营。；结局：1946 年躲进深山岩洞，被民兵抓获，公审处决。,带队进山扫荡，大肆搜捕抗联人员，破坏大量密营。,1946 年躲进深山岩洞，被民兵抓获，公审处决。
曹乃庚,东北,,,[伪邢台警备第一大队大队长，驻防城西山区炮楼，多次进山扫荡。],MEDIUM,扫荡,,伪职：伪邢台警备第一大队大队长，驻防城西山区炮楼，多次进山扫荡。；结局：邢台解放被俘，判处死刑,伪职：伪邢台警备第一大队大队长，驻防城西山区炮楼，多次进山扫荡。,邢台解放被俘，判处死刑
曹敬庵,正定,河北,石家庄,[原旧警察局长，投敌任伪正定警察局局长，搜捕地下党员，配合日军扫荡。],MEDIUM,扫荡,,伪职：原旧警察局长，投敌任伪正定警察局局长，搜捕地下党员，配合日军扫荡。；结局：1946 年汉奸罪判处徒刑,伪职：原旧警察局长，投敌任伪正定警察局局长，搜捕地下党员，配合日军扫荡。,1946 年汉奸罪判处徒刑
曹敬庵,正定,河北,石家庄,[原旧警察局长，投敌任伪正定警察局局长，搜捕地下党员，配合日军扫荡。],MEDIUM,扫荡,,伪职：原旧警察局长，投敌任伪正定警察局局长，搜捕地下党员，配合日军扫荡。；结局：1946 年汉奸罪判处徒刑,伪职：原旧警察局长，投敌任伪正定警察局局长，搜捕地下党员，配合日军扫荡。,1946 年汉奸罪判处徒刑
曹梦九,,,,[伪保定道道尹，伪保定道最高行政长官；统管 20 县伪政权，推行保甲连坐，配合日军反复扫荡冀中、晋察冀根据地。],MEDIUM,扫荡,,伪职：伪保定道道尹，伪保定道最高行政长官；统管 20 县伪政权，推行保甲连坐，配合日军反复扫荡冀中、晋察冀根据地。；结局：日本投降后逮捕，判处无期徒刑,统管 20 县伪政权，推行保甲连坐，配合日军反复扫荡冀中、晋察冀根据地。,日本投降后逮捕，判处无期徒刑
曹济民,安东（丹东）,辽宁,丹东,[伪满特务，光复后 “东北保安第一支队” 司令],MEDIUM,杀害,,伪职：伪满特务，光复后 “东北保安第一支队” 司令；罪行：早年纠结地痞土匪投敌；为日伪搜集情报；日本投降后收拢伪警、土匪，在安东、凤城、宽甸一带杀害农会干部、民主联军人员。；结局：1946 年被俘公审枪决抖音百科。,日本投降后收拢伪警、土匪，在安东、凤城、宽甸一带杀害农会干部、民主联军人员。,1946 年被俘公审枪决抖音百科。
曹湘,不详,,,"[清乡, 县长]",MEDIUM,清乡,,伪任职务：第四任伪无锡县长，强化清乡配套行政，摊派田赋捐税。。结局：战后捕获，判处重刑,伪任职务：第四任伪无锡县长，强化清乡配套行政，摊派田赋捐税。。结局：战后捕获，判处重刑,战后捕获，判处重刑
朗达中,代县,山西,忻州,[首任伪代县知事（县长）],MEDIUM,扫荡,,伪职：首任伪代县知事（县长）；罪行：组建伪代县公署，推行联保连坐，搜刮民财，配合日军扫荡雁门山区。；结局：战后汉奸罪重判,罪行：组建伪代县公署，推行联保连坐，搜刮民财，配合日军扫荡雁门山区。,战后汉奸罪重判
朱崇汉,四甲坝一带,江苏,南通,[伪南通特别区第九区区长],MEDIUM,清乡,,伪职：伪南通特别区第九区区长；罪行：伪清乡区长，构建基层伪政权，抓捕抗日干部，残害群众南通史志网。；结局：武工队潜入据点抓捕处决。,罪行：伪清乡区长，构建基层伪政权，抓捕抗日干部，残害群众南通史志网。,武工队潜入据点抓捕处决。
朱维民,合肥西乡龟山,安徽,合肥,[龟山据点伪维持代表、情报联络员],MEDIUM,烧杀,,伪职：龟山据点伪维持代表、情报联络员；罪行：为日军据点充当汉奸耳目，多次告密抗日武装行踪，引导日军下乡烧杀劫掠，祸害西乡乡村百姓党史学习教...。；结局：被抗日武装锄奸处决。,罪行：为日军据点充当汉奸耳目，多次告密抗日武装行踪，引导日军下乡烧杀劫掠，祸害西乡乡村百姓党史学习教...。,被抗日武装锄奸处决。
朱维民,合肥西乡龟山,安徽,合肥,[龟山据点伪维持代表、情报联络员],MEDIUM,烧杀,,伪职：龟山据点伪维持代表、情报联络员；罪行：为日军据点充当汉奸耳目，多次告密抗日武装行踪，引导日军下乡烧杀劫掠，祸害西乡乡村百姓党史学习教...。；结局：被抗日武装锄奸处决。,罪行：为日军据点充当汉奸耳目，多次告密抗日武装行踪，引导日军下乡烧杀劫掠，祸害西乡乡村百姓党史学习教...。,被抗日武装锄奸处决。
李万忠,铁岭,辽宁,铁岭,[伪铁岭县保安总队长],MEDIUM,杀害、围剿,,伪职：伪铁岭县保安总队长；罪行：伪保安队头目，多次带队进山围剿赵亚洲抗日总队，抓捕、杀害义勇军战士，血债较多。；结局：抗战胜利逮捕，汉奸罪重判。,罪行：伪保安队头目，多次带队进山围剿赵亚洲抗日总队，抓捕、杀害义勇军战士，血债较多。,抗战胜利逮捕，汉奸罪重判。
李冠英,怀仁,山西,朔州,[伪怀仁县县长],MEDIUM,扫荡,,伪职：伪怀仁县县长；罪行：建立怀仁伪县公署，修筑炮楼，配合日军扫荡雁北西部山区。；结局：战后汉奸罪判刑,罪行：建立怀仁伪县公署，修筑炮楼，配合日军扫荡雁北西部山区。,战后汉奸罪判刑
李凤和,涟水佃湖,江苏,淮安,[伪剿共军第一团团长],MEDIUM,烧杀、烧杀抢掠、扫荡,,伪职：伪剿共军第一团团长；罪行：伪军主力头目，驻防佃湖据点，多次配合日军扫荡涟东根据地，烧杀抢掠，搜捕抗日干部群众淮安市政协。；结局：两淮战役被歼灭，本人被俘处决。,罪行：伪军主力头目，驻防佃湖据点，多次配合日军扫荡涟东根据地，烧杀抢掠，搜捕抗日干部群众淮安市政协。,两淮战役被歼灭，本人被俘处决。
李凤和,涟水佃湖,江苏,淮安,[伪剿共军第一团团长],MEDIUM,烧杀、烧杀抢掠、扫荡,,伪职：伪剿共军第一团团长；罪行：伪军主力头目，驻防佃湖据点，多次配合日军扫荡涟东根据地，烧杀抢掠，搜捕抗日干部群众淮安市政协。；结局：两淮战役被歼灭，本人被俘处决。,罪行：伪军主力头目，驻防佃湖据点，多次配合日军扫荡涟东根据地，烧杀抢掠，搜捕抗日干部群众淮安市政协。,两淮战役被歼灭，本人被俘处决。
李凤岐,临汾,山西,临汾,[伪临汾警备大队长],MEDIUM,扫荡,,伪职：伪临汾警备大队长；罪行：收拢溃兵地痞投敌；多次带队扫荡一平垣、枕头西山根据地，抓捕交通员，劫掠村庄财物。；结局：镇反公审枪决,多次带队扫荡一平垣、枕头西山根据地，抓捕交通员，劫掠村庄财物。,镇反公审枪决
李华堂,河北（长期盘踞黑龙江）,河北,,"[省级长官, 部长, 军长]",MEDIUM,围剿,,伪任职务：抗联第九军军长叛变投敌，伪三江省伪军指挥官，围剿抗联部队。结局：1946 年剿匪战斗被俘，押解途中死亡,伪任职务：抗联第九军军长叛变投敌，伪三江省伪军指挥官，围剿抗联部队。结局：1946 年剿匪战斗被俘，押解途中死亡,1946 年剿匪战斗被俘，押解途中死亡
李华堂,刁翎、依兰、汤原一带,黑龙江,哈尔滨,[原抗联第九军军长，投敌伪讨伐头目],MEDIUM,围剿,,伪职：原抗联第九军军长，投敌伪讨伐头目；罪行：1939 年投降日伪；熟悉下江山林，带队围剿抗联；赵尚志牺牲后到场辨认遗体，助日军邀功；光复后组建国民党土匪武装作乱合江地区。；结局：1946 年捕获，公审处决。,熟悉下江山林，带队围剿抗联,1946 年捕获，公审处决。
李华堂,刁翎、依兰、汤原一带,黑龙江,哈尔滨,[原抗联第九军军长，投敌伪讨伐头目],MEDIUM,围剿,,伪职：原抗联第九军军长，投敌伪讨伐头目；罪行：1939 年投降日伪；熟悉下江山林，带队围剿抗联；赵尚志牺牲后到场辨认遗体，助日军邀功；光复后组建国民党土匪武装作乱合江地区。；结局：1946 年捕获，公审处决。,熟悉下江山林，带队围剿抗联,1946 年捕获，公审处决。
李占元,神池,山西,忻州,[伪神池警备大队长],MEDIUM,扫荡,,伪职：伪神池警备大队长；罪行：配合日军扫荡神池南山，抓捕抗日干部。；结局：解放后镇压处决,罪行：配合日军扫荡神池南山，抓捕抗日干部。,解放后镇压处决
李印卿,沙河,河北,邢台,[伪沙河警备大队长；驻守沙河城、褡裢、册井据点，多次扫荡沙河西部太行边沿村庄。],MEDIUM,扫荡,,伪职：伪沙河警备大队长；驻守沙河城、褡裢、册井据点，多次扫荡沙河西部太行边沿村庄。；结局：沙河解放被俘，公审枪决,驻守沙河城、褡裢、册井据点，多次扫荡沙河西部太行边沿村庄。,沙河解放被俘，公审枪决
李印泉,,,,[伪盐山县县长；冀鲁边核心敌占点，配合日军扫荡冀鲁边根据地。],MEDIUM,扫荡,,伪职：伪盐山县县长；冀鲁边核心敌占点，配合日军扫荡冀鲁边根据地。；结局：战后逮捕判刑,冀鲁边核心敌占点，配合日军扫荡冀鲁边根据地。,战后逮捕判刑
李善斌,濮塘（今马鞍山花山区）,安徽,马鞍山,[伪濮塘乡乡长、乡自卫队总队长],MEDIUM,扫荡,,伪职：伪濮塘乡乡长、乡自卫队总队长；罪行：濮塘头号汉奸，组织伪乡自卫队，配合日军扫荡横山根据地；日本投降后摇身投靠国民党，制造 “濮塘十月事件”，大肆捕杀地下党员、民兵与革命群众，血债累累中安在线。；结局：解放后公审判处死刑。,罪行：濮塘头号汉奸，组织伪乡自卫队，配合日军扫荡横山根据地,解放后公审判处死刑。
李培棠,凉城,内蒙古,乌兰察布,[伪凉城县县长；盘踞新堂（凉城县城），配合日军反复扫荡蛮汉山根据地，抓捕抗日干部群众。],MEDIUM,扫荡,,伪职：伪凉城县县长；盘踞新堂（凉城县城），配合日军反复扫荡蛮汉山根据地，抓捕抗日干部群众。；结局：战后汉奸罪判处徒刑,盘踞新堂（凉城县城），配合日军反复扫荡蛮汉山根据地，抓捕抗日干部群众。,战后汉奸罪判处徒刑
李士群,浙江遂昌,浙江,丽水,"[部长, 清乡]",MEDIUM,清乡,,伪任职务：76 号特工总部副主任，实际操盘人，上海、苏南清乡元凶。结局：1943 年被日方毒杀于苏州,伪任职务：76 号特工总部副主任，实际操盘人，上海、苏南清乡元凶。结局：1943 年被日方毒杀于苏州,1943 年被日方毒杀于苏州
李守业,浮山,山西,临汾,[伪浮山警备大队长],MEDIUM,扫荡,,伪职：伪浮山警备大队长；罪行：盘踞浮山县城，频繁配合日军扫荡浮山周边根据地。；结局：解放后公审枪决,罪行：盘踞浮山县城，频繁配合日军扫荡浮山周边根据地。,解放后公审枪决
李守信,热河,河北,,[伪蒙古军 57 团团长，驻防乌丹；骑兵主力，频繁围剿热北根据地。],MEDIUM,围剿,,伪职：伪蒙古军 57 团团长，驻防乌丹；骑兵主力，频繁围剿热北根据地。；结局：1950 引渡归案，1964 特赦释放,骑兵主力，频繁围剿热北根据地。,1950 引渡归案，1964 特赦释放
李宝仁,遵化,河北,唐山,[伪遵化警备大队长，伪军主力，多次配合日军扫荡盘山、鲁家峪根据地。],MEDIUM,扫荡,,伪职：伪遵化警备大队长，伪军主力，多次配合日军扫荡盘山、鲁家峪根据地。；结局：解放后镇反枪决,伪职：伪遵化警备大队长，伪军主力，多次配合日军扫荡盘山、鲁家峪根据地。,解放后镇反枪决
李宝珍,梨树,吉林,四平,[伪梨树县保安大队长],MEDIUM,围剿,,伪职：伪梨树县保安大队长；罪行：九一八后率保安队投降日军；指挥伪保安队围剿辽北义勇军，抓捕爱国群众。；结局：解放后镇反判处长期徒刑。,指挥伪保安队围剿辽北义勇军，抓捕爱国群众。,解放后镇反判处长期徒刑。
李宝珩,昔阳,山西,晋中,[伪昔阳县县长],MEDIUM,扫荡,,伪职：伪昔阳县县长；罪行：建立昔阳伪政权，推行治安强化运动，强征壮丁粮食，配合日军扫荡太行根据地。；结局：战后逮捕判刑,罪行：建立昔阳伪政权，推行治安强化运动，强征壮丁粮食，配合日军扫荡太行根据地。,战后逮捕判刑
李宝琏,东北,,,"[军长, 师长]",MEDIUM,扫荡,,伪任职务：伪伪军 13 师师长，驻防鄂北随州、枣阳，多次扫荡根据地。结局：抗战胜利被国民党收编，后被俘判刑,伪任职务：伪伪军 13 师师长，驻防鄂北随州、枣阳，多次扫荡根据地。结局：抗战胜利被国民党收编，后被俘判刑,抗战胜利被国民党收编，后被俘判刑
李实甫,板浦（灌云）、海属全境,江苏,连云港,[伪淮海保安司令部中将司令],MEDIUM,扫荡,,伪职：伪淮海保安司令部中将司令；罪行：海州头号伪军头目，依靠青帮收编土匪散兵，伪军最多 2000 余人；配合日军扫荡海属抗日根据地，控制淮北盐场，掠夺海盐物资，镇压民众反抗。；结局：抗战胜利后被捕判刑，后获释，1979 年病死。,配合日军扫荡海属抗日根据地，控制淮北盐场，掠夺海盐物资，镇压民众反抗。,抗战胜利后被捕判刑，后获释，1979 年病死。
李寿山,宽甸,辽宁,丹东,[伪宽甸县县长],MEDIUM,围剿,,伪职：伪宽甸县县长；罪行：宽甸伪主官，实施保甲连坐，强征国兵、劳工，围剿抗联在宽甸的游击力量。；结局：县城收复后逮捕判刑。,罪行：宽甸伪主官，实施保甲连坐，强征国兵、劳工，围剿抗联在宽甸的游击力量。,县城收复后逮捕判刑。
李广龙,安次八洋庄,河北,廊坊,[八洋庄据点伪军中队长；四处清乡，抓捕杀害多名县区村干部，残害百姓。],MEDIUM,杀害、清乡,,伪职：八洋庄据点伪军中队长；四处清乡，抓捕杀害多名县区村干部，残害百姓。；结局：冀中十分区武工队锄奸击毙,四处清乡，抓捕杀害多名县区村干部，残害百姓。,冀中十分区武工队锄奸击毙
李怀英,寿阳,山西,晋中,[黑军副头目],MEDIUM,扫荡,,伪职：黑军副头目；罪行：乔玉莲副手，继续祸害寿阳东部。；结局：1941 反扫荡战斗被民兵击毙,结局：1941 反扫荡战斗被民兵击毙,1941 反扫荡战斗被民兵击毙
李思镜,岱山本岛,浙江,舟山,[日伪定东指挥],MEDIUM,围剿,,伪职：日伪定东指挥；罪行：日伪海岛军事特务头目，统管岱山一带伪军特务，大鱼山战斗中负责调遣日伪军部队围剿我方指战员岱山新闻网。；结局：抗战胜利后逮捕法办。,罪行：日伪海岛军事特务头目，统管岱山一带伪军特务，大鱼山战斗中负责调遣日伪军部队围剿我方指战员岱山新闻网。,抗战胜利后逮捕法办。
李慎修,闻喜,山西,运城,[伪闻喜县县长],MEDIUM,扫荡,,伪职：伪闻喜县县长；罪行：建立闻喜伪县公署，修筑炮楼，强征粮款，配合日军扫荡稷麓根据地。；结局：战后逮捕判刑,罪行：建立闻喜伪县公署，修筑炮楼，强征粮款，配合日军扫荡稷麓根据地。,战后逮捕判刑
李映庚,,,,[伪霍县县长],MEDIUM,扫荡,,伪职：伪霍县县长；罪行：搭建霍县伪政权，设立合作社掠夺物资，配合日军扫荡霍山山区。；结局：战后汉奸罪判刑,罪行：搭建霍县伪政权，设立合作社掠夺物资，配合日军扫荡霍山山区。,战后汉奸罪判刑
李景友,盂县,山西,阳泉,[伪先锋队队长],MEDIUM,扫荡、清乡,,伪职：伪先锋队队长；罪行：带队下乡清乡扫荡，抓捕地方干部，掠夺粮食牲畜。；结局：抗战结束后清算处决,罪行：带队下乡清乡扫荡，抓捕地方干部，掠夺粮食牲畜。,抗战结束后清算处决
李梦符,,,,[伪龙关县县长；推行长城 “人圈” 集家并村政策，疯狂清剿平北抗日根据地。],MEDIUM,清剿,,伪职：伪龙关县县长；推行长城 “人圈” 集家并村政策，疯狂清剿平北抗日根据地。；结局：战后逮捕判刑,推行长城 “人圈” 集家并村政策，疯狂清剿平北抗日根据地。,战后逮捕判刑
李毓田,,,,[伪文水县县长],MEDIUM,扫荡,,伪职：伪文水县县长；罪行：组建文水伪政权，修筑炮楼，推行保甲连坐，配合日军扫荡文水山区。；结局：抗战胜利逮捕判刑,罪行：组建文水伪政权，修筑炮楼，推行保甲连坐，配合日军扫荡文水山区。,抗战胜利逮捕判刑
李法标,蔡家岗（谢家集）,安徽,淮南,[伪绥靖团团长],MEDIUM,扫荡,,伪职：伪绥靖团团长；罪行：伪军盘踞蔡家岗据点，仗势欺压百姓，强抢民女，多次配合日军扫荡八公山周边乡村淮南市人民...。；结局：被淮上支队内应配合锄奸，当场击毙于蔡家岗周家大院淮南市人民...。,罪行：伪军盘踞蔡家岗据点，仗势欺压百姓，强抢民女，多次配合日军扫荡八公山周边乡村淮南市人民...。,被淮上支队内应配合锄奸，当场击毙于蔡家岗周家大院淮南市人民...。
李海山,西安县东部,吉林,辽源,[伪地方自卫团总头目],MEDIUM,清乡,,伪职：伪地方自卫团总头目；罪行：投靠日伪，带领自卫团配合日伪清乡，搜捕抗联人员，祸害乡村百姓。；结局：解放后镇反处决。,罪行：投靠日伪，带领自卫团配合日伪清乡，搜捕抗联人员，祸害乡村百姓。,解放后镇反处决。
李淑山,彭泽县（今属九江）,江西,九江,[伪彭泽县政府保安队队长],MEDIUM,扫荡,,伪职：伪彭泽县政府保安队队长；罪行：掌管伪保安队武装，配合日军维持治安、扫荡乡村、抓捕抗日群众；结局：日军投降后被国民党击毙在彭泽北菜场（来源：彭泽伪政府核心武装头目，有明确结局记载）,罪行：掌管伪保安队武装，配合日军维持治安、扫荡乡村、抓捕抗日群众,日军投降后被国民党击毙在彭泽北菜场（来源：彭泽伪政府核心武装头目，有明确结局记载）
李炳臣,凤台全县,安徽,淮南,[汪伪凤台县伪县长],MEDIUM,扫荡,,伪职：汪伪凤台县伪县长；罪行：汪伪正式委任伪县长，推行保甲良民证，强征粮食、抓壮丁，配合日伪军扫荡淮上抗日根据地，迫害抗日干部群众。；结局：抗战胜利后肃奸公审判处死刑。,罪行：汪伪正式委任伪县长，推行保甲良民证，强征粮食、抓壮丁，配合日伪军扫荡淮上抗日根据地，迫害抗日干部群众。,抗战胜利后肃奸公审判处死刑。
李益州,望江杨湾,安徽,安庆,[杨湾投敌骨干],MEDIUM,烧杀,,伪职：杨湾投敌骨干；罪行：与周昆贤一同充当向导，告密村中藏匿抗日人员，协助日军烧杀掳掠，迫害当地百姓望江新闻网。；结局：战后肃奸判处死刑。,罪行：与周昆贤一同充当向导，告密村中藏匿抗日人员，协助日军烧杀掳掠，迫害当地百姓望江新闻网。,战后肃奸判处死刑。
李祖宇,不详,,,"[清乡, 县长]",MEDIUM,清乡,,伪任职务：第五任伪无锡县长，配合日伪第二期清乡，编组保甲联保切结。。结局：抗战胜利判刑入狱,伪任职务：第五任伪无锡县长，配合日伪第二期清乡，编组保甲联保切结。。结局：抗战胜利判刑入狱,抗战胜利判刑入狱
李积玉,邯郸,河北,邯郸,[伪宪兵特务队 “灭共组” 头目；专门搜捕地下党员、交通员，酷刑逼供，亲手杀害多名抗日干部群众。],MEDIUM,杀害,,伪职：伪宪兵特务队 “灭共组” 头目；专门搜捕地下党员、交通员，酷刑逼供，亲手杀害多名抗日干部群众。；结局：解放后公审枪决,专门搜捕地下党员、交通员，酷刑逼供，亲手杀害多名抗日干部群众。,解放后公审枪决
李积玉,邯郸,河北,邯郸,[伪宪兵特务队 “灭共组” 头目；专门搜捕地下党员、交通员，酷刑逼供，亲手杀害多名抗日干部群众。],MEDIUM,杀害,,伪职：伪宪兵特务队 “灭共组” 头目；专门搜捕地下党员、交通员，酷刑逼供，亲手杀害多名抗日干部群众。；结局：解放后公审枪决,专门搜捕地下党员、交通员，酷刑逼供，亲手杀害多名抗日干部群众。,解放后公审枪决
李积玉,邯郸,河北,邯郸,[伪宪兵特务队 “灭共组” 头目；搜捕地下党员、交通员，酷刑杀害多名抗日干部群众。],MEDIUM,杀害,,伪职：伪宪兵特务队 “灭共组” 头目；搜捕地下党员、交通员，酷刑杀害多名抗日干部群众。；结局：解放后公审枪决,搜捕地下党员、交通员，酷刑杀害多名抗日干部群众。,解放后公审枪决
李端凝,辽中,辽宁,沈阳,[伪盘山县第二任县长（1933??）],MEDIUM,围剿,,伪职：伪盘山县第二任县长（1933??）；罪行：推行保甲连坐，强征劳工粮食，围剿辽西义勇军；为被打死的日伪军修建 “忠魂碑”，美化日伪统治。；结局：抗战胜利逮捕，汉奸罪判刑。,罪行：推行保甲连坐，强征劳工粮食，围剿辽西义勇军,抗战胜利逮捕，汉奸罪判刑。
李简谷,凤台城乡,安徽,淮南,[继任凤台日军特务队长],MEDIUM,扫荡,,伪职：继任凤台日军特务队长；罪行：接手特务组织，发展大批便衣密探，告密引导日军下乡扫荡，制造多起抓捕血案政协凤台县...。；结局：汉奸审判判处死刑。,罪行：接手特务组织，发展大批便衣密探，告密引导日军下乡扫荡，制造多起抓捕血案政协凤台县...。,汉奸审判判处死刑。
李细狗,向塘火车站,江西,南昌,[伪军密探],MEDIUM,扫荡,,伪职：伪军密探；罪行：专门打探难民位置，带队扫荡河湾窑洞；结局：暂无明确结局记载,罪行：专门打探难民位置，带队扫荡河湾窑洞,暂无明确结局记载
李继贵,丰润,河北,唐山,[伪丰润警备队副大队长，伪军实权头目，带队参与潘家峪扫荡，多次进山围剿冀东游击队。],MEDIUM,扫荡、围剿,,伪职：伪丰润警备队副大队长，伪军实权头目，带队参与潘家峪扫荡，多次进山围剿冀东游击队。；结局：1946 年公审枪决,伪职：伪丰润警备队副大队长，伪军实权头目，带队参与潘家峪扫荡，多次进山围剿冀东游击队。,1946 年公审枪决
李继贵,丰润,河北,唐山,[伪丰润警备队副大队长，伪军实权头目，带队参与潘家峪扫荡，多次进山围剿冀东游击队。],MEDIUM,扫荡、围剿,,伪职：伪丰润警备队副大队长，伪军实权头目，带队参与潘家峪扫荡，多次进山围剿冀东游击队。；结局：1946 公审枪决,伪职：伪丰润警备队副大队长，伪军实权头目，带队参与潘家峪扫荡，多次进山围剿冀东游击队。,1946 公审枪决
李翰卿,,,,[伪渤海道道尹，伪渤海道最高行政长官；统辖 13 县伪政权，推行保甲、治安强化运动，征粮抓丁，配合日军扫荡冀中、冀鲁边根据地。],MEDIUM,扫荡,,伪职：伪渤海道道尹，伪渤海道最高行政长官；统辖 13 县伪政权，推行保甲、治安强化运动，征粮抓丁，配合日军扫荡冀中、冀鲁边根据地。；结局：抗战胜利逮捕，判处无期徒刑,统辖 13 县伪政权，推行保甲、治安强化运动，征粮抓丁，配合日军扫荡冀中、冀鲁边根据地。,抗战胜利逮捕，判处无期徒刑
李英魁,河北,河北,,"[军长, 司令]",MEDIUM,扫荡,,伪任职务：伪华北绥靖军第 7 集团军司令，驻防山西，多次扫荡晋察冀、晋绥根据地。结局：抗战胜利后国民政府逮捕处决,伪任职务：伪华北绥靖军第 7 集团军司令，驻防山西，多次扫荡晋察冀、晋绥根据地。结局：抗战胜利后国民政府逮捕处决,抗战胜利后国民政府逮捕处决
李荣三,,,,[伪丰南办事处主任（等同伪县长），依附王子林，推行清乡，搜集路南游击队情报，抓捕地方干部。],MEDIUM,清乡,,伪职：伪丰南办事处主任（等同伪县长），依附王子林，推行清乡，搜集路南游击队情报，抓捕地方干部。；结局：1944 西葛各庄被八路军伏击击毙,伪职：伪丰南办事处主任（等同伪县长），依附王子林，推行清乡，搜集路南游击队情报，抓捕地方干部。,1944 西葛各庄被八路军伏击击毙
李荣三,,,,[伪丰南办事处主任（等同伪县长），依附王子林伪军，推行清乡，搜集路南游击队情报，抓捕地方干部。],MEDIUM,清乡,,伪职：伪丰南办事处主任（等同伪县长），依附王子林伪军，推行清乡，搜集路南游击队情报，抓捕地方干部。；结局：1944 西葛各庄被八路军伏击击毙,伪职：伪丰南办事处主任（等同伪县长），依附王子林伪军，推行清乡，搜集路南游击队情报，抓捕地方干部。,1944 西葛各庄被八路军伏击击毙
李荫棠,,,,[伪平泉县县长；平泉是日伪扫荡承平宁根据地指挥中心，强修炮楼人圈，大检举抓捕抗日人员。],MEDIUM,扫荡,,伪职：伪平泉县县长；平泉是日伪扫荡承平宁根据地指挥中心，强修炮楼人圈，大检举抓捕抗日人员。；结局：战后汉奸罪判处长期徒刑,平泉是日伪扫荡承平宁根据地指挥中心，强修炮楼人圈，大检举抓捕抗日人员。,战后汉奸罪判处长期徒刑
李葆华,,,,[伪固安县县长；依托平汉铁路，修筑大量炮楼，清乡扫荡固安西部。],MEDIUM,扫荡、清乡,,伪职：伪固安县县长；依托平汉铁路，修筑大量炮楼，清乡扫荡固安西部。；结局：战后汉奸罪判处徒刑,依托平汉铁路，修筑大量炮楼，清乡扫荡固安西部。,战后汉奸罪判处徒刑
李观洲,河间,河北,沧州,[伪河间警备联队长；伪军主力，配合日军反复扫荡河间根据地。],MEDIUM,扫荡,,伪职：伪河间警备联队长；伪军主力，配合日军反复扫荡河间根据地。；结局：河间解放被俘枪决,伪军主力，配合日军反复扫荡河间根据地。,河间解放被俘枪决
李讴一,广东,广东,,[军长],MEDIUM,围剿,,伪任职务：伪广州绥靖公署副主任，整编广东各路伪军，围剿珠江抗日游击队。结局：抗战胜利逮捕，判处死刑枪决,伪任职务：伪广州绥靖公署副主任，整编广东各路伪军，围剿珠江抗日游击队。结局：抗战胜利逮捕，判处死刑枪决,抗战胜利逮捕，判处死刑枪决
李象山,虎林、密山一带,黑龙江,鸡西,[伪伪军团长],MEDIUM,扫荡,,伪职：伪伪军团长；罪行：投降日军，充当向导，带领日伪军进攻高玉山国民救国军，扫荡虎林、黑嘴子抗日根据地，残害抗日军民。；结局：抗战胜利后被清算镇压。,罪行：投降日军，充当向导，带领日伪军进攻高玉山国民救国军，扫荡虎林、黑嘴子抗日根据地，残害抗日军民。,抗战胜利后被清算镇压。
李辅唐,五台,山西,忻州,[伪五台县县长],MEDIUM,扫荡,,伪职：伪五台县县长；罪行：建立伪公署，修筑炮楼，管控台怀、豆村据点，配合日军扫荡五台山区。；结局：战后汉奸罪判刑,罪行：建立伪公署，修筑炮楼，管控台怀、豆村据点，配合日军扫荡五台山区。,战后汉奸罪判刑
李逢春,肥乡,河北,邯郸,[伪肥乡警备大队长；带队多次下乡 “清乡”，抓捕抗日干部。],MEDIUM,清乡,,伪职：伪肥乡警备大队长；带队多次下乡 “清乡”，抓捕抗日干部。；结局：肥乡解放被俘，判处死刑,带队多次下乡 “清乡”，抓捕抗日干部。,肥乡解放被俘，判处死刑
李逢春,肥乡,河北,邯郸,[伪肥乡警备大队长；多次下乡清乡，抓捕抗日干部。],MEDIUM,清乡,,伪职：伪肥乡警备大队长；多次下乡清乡，抓捕抗日干部。；结局：肥乡解放被俘，判处死刑,多次下乡清乡，抓捕抗日干部。,肥乡解放被俘，判处死刑
李逢春,肥乡,河北,邯郸,[伪肥乡警备大队长；带队多次下乡 “清乡”，抓捕抗日干部。],MEDIUM,清乡,,伪职：伪肥乡警备大队长；带队多次下乡 “清乡”，抓捕抗日干部。；结局：肥乡解放被俘，判处死刑,带队多次下乡 “清乡”，抓捕抗日干部。,肥乡解放被俘，判处死刑
